level,entryId,term,reading,meaningEn,meaningViDraft
N2,n2_tanos_0003,あいまい,あいまい,"vague, ambiguous",[VI cần duyệt] vague; [VI cần duyệt] ambiguous
N2,n2_tanos_0004,遭う,あう,"to meet, to encounter",gặp; [VI cần duyệt] to encounter
N2,n2_tanos_0005,扇ぐ,あおぐ,"to fan, to flap",[VI cần duyệt] to fan; [VI cần duyệt] to flap
N2,n2_tanos_0006,青白い,あおじろい,"pale, pallid",[VI cần duyệt] pale; [VI cần duyệt] pallid
N2,n2_tanos_0007,あかんぼう,あかんぼう,baby,[VI cần duyệt] baby
N2,n2_tanos_0008,明き,あき,"room, time to spare, emptiness",phòng; [VI cần duyệt] time to spare; [VI cần duyệt] emptiness
N2,n2_tanos_0009,あきれる,あきれる,"to be amazed, to be shocked",[VI cần duyệt] to be amazed; [VI cần duyệt] to be shocked
N2,n2_tanos_0010,アクセント,アクセント,accent,[VI cần duyệt] accent
N2,n2_tanos_0011,あくび,あくび,yawn,[VI cần duyệt] yawn
N2,n2_tanos_0012,飽くまで,あくまで,"to the end, to the last, stubbornly",[VI cần duyệt] to the end; [VI cần duyệt] to the last; [VI cần duyệt] stubbornly
N2,n2_tanos_0013,明け方,あけがた,dawn,[VI cần duyệt] dawn
N2,n2_tanos_0014,揚げる,あげる,"to lift, to fry",[VI cần duyệt] to lift; [VI cần duyệt] to fry
N2,n2_tanos_0015,挙げる,あげる,"to raise, to fly",[VI cần duyệt] to raise; bay
N2,n2_tanos_0016,あげる (=やる),あげる (=やる),to do for,[VI cần duyệt] to do for
N2,n2_tanos_0017,憧れる,あこがれる,"to long for, to yearn after, to admire",[VI cần duyệt] to long for; [VI cần duyệt] to yearn after; [VI cần duyệt] to admire
N2,n2_tanos_0018,足跡,あしあと,footprints,[VI cần duyệt] footprints
N2,n2_tanos_0019,味わう,あじわう,"to taste, to savor, to relish",[VI cần duyệt] to taste; [VI cần duyệt] to savor; [VI cần duyệt] to relish
N2,n2_tanos_0020,預かる,あずかる,"to keep in custody, to receive on deposit, to take charge of",[VI cần duyệt] to keep in custody; [VI cần duyệt] to receive on deposit; [VI cần duyệt] to take charge of
N2,n2_tanos_0021,暖まる,あたたまる,"to warm up, to get warm",[VI cần duyệt] to warm up; [VI cần duyệt] to get warm
N2,n2_tanos_0022,暖める,あたためる,"to warm, to heat",ấm; [VI cần duyệt] to heat
N2,n2_tanos_0023,あたりまえ,あたりまえ,"usual, common, ordinary",[VI cần duyệt] usual; phổ biến; bình thường
N2,n2_tanos_0025,あちらこちら,あちらこちら,here and there,[VI cần duyệt] here; [VI cần duyệt] there
N2,n2_tanos_0026,厚かましい,あつかましい,"impudent, shameless, brazen",[VI cần duyệt] impudent; [VI cần duyệt] shameless; [VI cần duyệt] brazen
N2,n2_tanos_0027,圧縮,あっしゅく,"compression, condensation, pressure",[VI cần duyệt] compression; [VI cần duyệt] condensation; [VI cần duyệt] pressure
N2,n2_tanos_0028,宛名,あてな,"address, direction",[VI cần duyệt] address; phương hướng
N2,n2_tanos_0029,あてはまる,あてはまる,"to be applicable, to come under , to fulfill",[VI cần duyệt] to be applicable; [VI cần duyệt] to come under; [VI cần duyệt] to fulfill
N2,n2_tanos_0030,あてはめる,あてはめる,"to apply, to adapt",[VI cần duyệt] to apply; [VI cần duyệt] to adapt
N2,n2_tanos_0031,暴れる,あばれる,"to act violently, to rage, to struggle, to be riotous",[VI cần duyệt] to act violently; [VI cần duyệt] to rage; [VI cần duyệt] to struggle; [VI cần duyệt] to be riotous
N2,n2_tanos_0032,脂,あぶら,"fat, tallow, lard",[VI cần duyệt] fat; [VI cần duyệt] tallow; [VI cần duyệt] lard
N2,n2_tanos_0033,あぶる,あぶる,to scorch,[VI cần duyệt] to scorch
N2,n2_tanos_0034,あふれる,あふれる,"to flood, to overflow, to brim over",[VI cần duyệt] to flood; [VI cần duyệt] to overflow; [VI cần duyệt] to brim over
N2,n2_tanos_0035,雨戸,あまど,sliding storm door,[VI cần duyệt] sliding storm door
N2,n2_tanos_0036,甘やかす,あまやかす,"to pamper, to spoil",[VI cần duyệt] to pamper; [VI cần duyệt] to spoil
N2,n2_tanos_0037,余る,あまる,"to remain, to be left over, to be in excess, to be too many",[VI cần duyệt] to remain; [VI cần duyệt] to be left over; [VI cần duyệt] to be in excess; [VI cần duyệt] to be too many
N2,n2_tanos_0038,編物,あみもの,"knitting, web",[VI cần duyệt] knitting; [VI cần duyệt] web
N2,n2_tanos_0039,編む,あむ,to knit,[VI cần duyệt] to knit
N2,n2_tanos_0040,危うい,あやうい,"dangerous, critical, grave",nguy hiểm; [VI cần duyệt] critical; [VI cần duyệt] grave
N2,n2_tanos_0041,怪しい,あやしい,"suspicious, dubious, doubtful",[VI cần duyệt] suspicious; [VI cần duyệt] dubious; [VI cần duyệt] doubtful
N2,n2_tanos_0042,荒い,あらい,"rough, rude, wild",[VI cần duyệt] rough; [VI cần duyệt] rude; [VI cần duyệt] wild
N2,n2_tanos_0043,粗い,あらい,"coarse, rough",[VI cần duyệt] coarse; [VI cần duyệt] rough
